Baseline_SE_bce_dice_loss_new,Mean Time: 0.1717805,Mean FPS: 5.8213812
Baseline_CBAM_bce_dice_loss_new,Mean Time: 0.1350015,Mean FPS: 7.4073233
Baseline_ProposedAtt_bce_dice_loss_new,Mean Time: 0.1278719,Mean FPS: 7.8203286
Baseline_LeakyRI_bce_dice_loss_new,Mean Time: 0.1044433,Mean FPS: 9.5745758
SandBoilNet_4e_4_noDropout_bce_dice_loss_new,Mean Time: 0.1673399,Mean FPS: 5.9758611
Baseline_Conv_bce_dice_loss_new,Mean Time: 0.0901593,Mean FPS: 11.0914810
SandBoilNet_4e_4_bce_dice_loss_new,Mean Time: 0.1571429,Mean FPS: 6.3636346
SandBoilNet_SE_bce_dice_loss_new,Mean Time: 0.1577120,Mean FPS: 6.3406697
baseline_normal_bce_dice_loss_new,Mean Time: 0.0893102,Mean FPS: 11.1969238
SandBoilNet_CBAM_bce_dice_loss_new,Mean Time: 0.1634410,Mean FPS: 6.1184145
SandBoilNet_Low_Dimension_PCA_bce_dice_loss_new,Mean Time: 0.1620068,Mean FPS: 6.1725819
Depthwise_Seepage_Inception_PCA_bce_dice_loss_new,Mean Time: 0.2261550,Mean FPS: 4.4217460
SandBoilNet_Dropout_Without_PCA_bce_dice_loss_new,Mean Time: 0.1445217,Mean FPS: 6.9193755
SandBoilNet_4e_4_noDropout_bce_dice_loss_new,Mean Time: 0.1627761,Mean FPS: 6.1434096
